time	epistasis_coef	sel_coef	mu_prob	Ne	L	k_start	mean_fitness
1500000	0.2000000000	0.0010000000	0.0001000000	100	100	0	0.979938
1501000	0.2000000000	0.0010000000	0.0001000000	100	100	0	0.979938
1502000	0.2000000000	0.0010000000	0.0001000000	100	100	0	0.979938
1503000	0.2000000000	0.0010000000	0.0001000000	100	100	0	0.979938
1504000	0.2000000000	0.0010000000	0.0001000000	100	100	0	0.979945
1505000	0.2000000000	0.0010000000	0.0001000000	100	100	0	0.979938
1506000	0.2000000000	0.0010000000	0.0001000000	100	100	0	0.979938
1507000	0.2000000000	0.0010000000	0.0001000000	100	100	0	0.979938
1508000	0.2000000000	0.0010000000	0.0001000000	100	100	0	0.979938
1509000	0.2000000000	0.0010000000	0.0001000000	100	100	0	0.979938
1510000	0.2000000000	0.0010000000	0.0001000000	100	100	0	0.979938
1511000	0.2000000000	0.0010000000	0.0001000000	100	100	0	0.979938
1512000	0.2000000000	0.0010000000	0.0001000000	100	100	0	0.979938
1513000	0.2000000000	0.0010000000	0.0001000000	100	100	0	0.979938
1514000	0.2000000000	0.0010000000	0.0001000000	100	100	0	0.979938
1515000	0.2000000000	0.0010000000	0.0001000000	100	100	0	0.979938
1516000	0.2000000000	0.0010000000	0.0001000000	100	100	0	0.979938
1517000	0.2000000000	0.0010000000	0.0001000000	100	100	0	0.979938
1518000	0.2000000000	0.0010000000	0.0001000000	100	100	0	0.980308
1519000	0.2000000000	0.0010000000	0.0001000000	100	100	0	0.979938
1520000	0.2000000000	0.0010000000	0.0001000000	100	100	0	0.979938
1521000	0.2000000000	0.0010000000	0.0001000000	100	100	0	0.979938
1522000	0.2000000000	0.0010000000	0.0001000000	100	100	0	0.979938
1523000	0.2000000000	0.0010000000	0.0001000000	100	100	0	0.979938
1524000	0.2000000000	0.0010000000	0.0001000000	100	100	0	0.979569
1525000	0.2000000000	0.0010000000	0.0001000000	100	100	0	0.979569
1526000	0.2000000000	0.0010000000	0.0001000000	100	100	0	0.979569
1527000	0.2000000000	0.0010000000	0.0001000000	100	100	0	0.979569
1528000	0.2000000000	0.0010000000	0.0001000000	100	100	0	0.979532
1529000	0.2000000000	0.0010000000	0.0001000000	100	100	0	0.979569
1530000	0.2000000000	0.0010000000	0.0001000000	100	100	0	0.979569
1531000	0.2000000000	0.0010000000	0.0001000000	100	100	0	0.979569
1532000	0.2000000000	0.0010000000	0.0001000000	100	100	0	0.979569
1533000	0.2000000000	0.0010000000	0.0001000000	100	100	0	0.979569
1534000	0.2000000000	0.0010000000	0.0001000000	100	100	0	0.979569
1535000	0.2000000000	0.0010000000	0.0001000000	100	100	0	0.979569
1536000	0.2000000000	0.0010000000	0.0001000000	100	100	0	0.979569
1537000	0.2000000000	0.0010000000	0.0001000000	100	100	0	0.979569
1538000	0.2000000000	0.0010000000	0.0001000000	100	100	0	0.979823
1539000	0.2000000000	0.0010000000	0.0001000000	100	100	0	0.979569
1540000	0.2000000000	0.0010000000	0.0001000000	100	100	0	0.979569
1541000	0.2000000000	0.0010000000	0.0001000000	100	100	0	0.979569
1542000	0.2000000000	0.0010000000	0.0001000000	100	100	0	0.979569
1543000	0.2000000000	0.0010000000	0.0001000000	100	100	0	0.979569
1544000	0.2000000000	0.0010000000	0.0001000000	100	100	0	0.979569
1545000	0.2000000000	0.0010000000	0.0001000000	100	100	0	0.979569
1546000	0.2000000000	0.0010000000	0.0001000000	100	100	0	0.979569
1547000	0.2000000000	0.0010000000	0.0001000000	100	100	0	0.979481
1548000	0.2000000000	0.0010000000	0.0001000000	100	100	0	0.979569
1549000	0.2000000000	0.0010000000	0.0001000000	100	100	0	0.979419
1550000	0.2000000000	0.0010000000	0.0001000000	100	100	0	0.979580
1551000	0.2000000000	0.0010000000	0.0001000000	100	100	0	0.979569
1552000	0.2000000000	0.0010000000	0.0001000000	100	100	0	0.979202
1553000	0.2000000000	0.0010000000	0.0001000000	100	100	0	0.979202
1554000	0.2000000000	0.0010000000	0.0001000000	100	100	0	0.979202
1555000	0.2000000000	0.0010000000	0.0001000000	100	100	0	0.979202
