time	epistasis_coef	sel_coef	mu_prob	Ne	L	k_start	mean_fitness
2000000	-0.4000000000	0.0100000000	0.0100000000	10	100	0	0.344122
2001000	-0.4000000000	0.0100000000	0.0100000000	10	100	0	0.310548
2002000	-0.4000000000	0.0100000000	0.0100000000	10	100	0	0.345851
2003000	-0.4000000000	0.0100000000	0.0100000000	10	100	0	0.364568
2004000	-0.4000000000	0.0100000000	0.0100000000	10	100	0	0.425007
2005000	-0.4000000000	0.0100000000	0.0100000000	10	100	0	0.360825
2006000	-0.4000000000	0.0100000000	0.0100000000	10	100	0	0.364568
2007000	-0.4000000000	0.0100000000	0.0100000000	10	100	0	0.345851
2008000	-0.4000000000	0.0100000000	0.0100000000	10	100	0	0.308958
2009000	-0.4000000000	0.0100000000	0.0100000000	10	100	0	0.362696
2010000	-0.4000000000	0.0100000000	0.0100000000	10	100	0	0.327846
2011000	-0.4000000000	0.0100000000	0.0100000000	10	100	0	0.382057
2012000	-0.4000000000	0.0100000000	0.0100000000	10	100	0	0.457701
2013000	-0.4000000000	0.0100000000	0.0100000000	10	100	0	0.491766
2014000	-0.4000000000	0.0100000000	0.0100000000	10	100	0	0.406305
2015000	-0.4000000000	0.0100000000	0.0100000000	10	100	0	0.327846
2016000	-0.4000000000	0.0100000000	0.0100000000	10	100	0	0.384000
2017000	-0.4000000000	0.0100000000	0.0100000000	10	100	0	0.353338
2018000	-0.4000000000	0.0100000000	0.0100000000	10	100	0	0.382129
2019000	-0.4000000000	0.0100000000	0.0100000000	10	100	0	0.404148
2020000	-0.4000000000	0.0100000000	0.0100000000	10	100	0	0.384000
2021000	-0.4000000000	0.0100000000	0.0100000000	10	100	0	0.412492
2022000	-0.4000000000	0.0100000000	0.0100000000	10	100	0	0.425007
2023000	-0.4000000000	0.0100000000	0.0100000000	10	100	0	0.364568
2024000	-0.4000000000	0.0100000000	0.0100000000	10	100	0	0.362696
2025000	-0.4000000000	0.0100000000	0.0100000000	10	100	0	0.362696
2026000	-0.4000000000	0.0100000000	0.0100000000	10	100	0	0.364568
2027000	-0.4000000000	0.0100000000	0.0100000000	10	100	0	0.353338
2028000	-0.4000000000	0.0100000000	0.0100000000	10	100	0	0.362696
2029000	-0.4000000000	0.0100000000	0.0100000000	10	100	0	0.384000
2030000	-0.4000000000	0.0100000000	0.0100000000	10	100	0	0.480298
2031000	-0.4000000000	0.0100000000	0.0100000000	10	100	0	0.468830
2032000	-0.4000000000	0.0100000000	0.0100000000	10	100	0	0.422921
2033000	-0.4000000000	0.0100000000	0.0100000000	10	100	0	0.446571
2034000	-0.4000000000	0.0100000000	0.0100000000	10	100	0	0.487179
2035000	-0.4000000000	0.0100000000	0.0100000000	10	100	0	0.564406
2036000	-0.4000000000	0.0100000000	0.0100000000	10	100	0	0.468830
2037000	-0.4000000000	0.0100000000	0.0100000000	10	100	0	0.422921
2038000	-0.4000000000	0.0100000000	0.0100000000	10	100	0	0.380114
2039000	-0.4000000000	0.0100000000	0.0100000000	10	100	0	0.404148
2040000	-0.4000000000	0.0100000000	0.0100000000	10	100	0	0.384000
2041000	-0.4000000000	0.0100000000	0.0100000000	10	100	0	0.345851
2042000	-0.4000000000	0.0100000000	0.0100000000	10	100	0	0.327846
2043000	-0.4000000000	0.0100000000	0.0100000000	10	100	0	0.317467
2044000	-0.4000000000	0.0100000000	0.0100000000	10	100	0	0.293948
2045000	-0.4000000000	0.0100000000	0.0100000000	10	100	0	0.345851
2046000	-0.4000000000	0.0100000000	0.0100000000	10	100	0	0.310548
2047000	-0.4000000000	0.0100000000	0.0100000000	10	100	0	0.364568
2048000	-0.4000000000	0.0100000000	0.0100000000	10	100	0	0.327846
2049000	-0.4000000000	0.0100000000	0.0100000000	10	100	0	0.310548
2050000	-0.4000000000	0.0100000000	0.0100000000	10	100	0	0.326116
2051000	-0.4000000000	0.0100000000	0.0100000000	10	100	0	0.384000
2052000	-0.4000000000	0.0100000000	0.0100000000	10	100	0	0.324386
2053000	-0.4000000000	0.0100000000	0.0100000000	10	100	0	0.327846
2054000	-0.4000000000	0.0100000000	0.0100000000	10	100	0	0.384000
2055000	-0.4000000000	0.0100000000	0.0100000000	10	100	0	0.364568
2056000	-0.4000000000	0.0100000000	0.0100000000	10	100	0	0.425078
2057000	-0.4000000000	0.0100000000	0.0100000000	10	100	0	0.364568
2058000	-0.4000000000	0.0100000000	0.0100000000	10	100	0	0.345851
2059000	-0.4000000000	0.0100000000	0.0100000000	10	100	0	0.355209
2060000	-0.4000000000	0.0100000000	0.0100000000	10	100	0	0.326116
2061000	-0.4000000000	0.0100000000	0.0100000000	10	100	0	0.326187
2062000	-0.4000000000	0.0100000000	0.0100000000	10	100	0	0.293948
2063000	-0.4000000000	0.0100000000	0.0100000000	10	100	0	0.362696
2064000	-0.4000000000	0.0100000000	0.0100000000	10	100	0	0.312277
2065000	-0.4000000000	0.0100000000	0.0100000000	10	100	0	0.404148
2066000	-0.4000000000	0.0100000000	0.0100000000	10	100	0	0.326116
2067000	-0.4000000000	0.0100000000	0.0100000000	10	100	0	0.360825
2068000	-0.4000000000	0.0100000000	0.0100000000	10	100	0	0.327846
2069000	-0.4000000000	0.0100000000	0.0100000000	10	100	0	0.303908
2070000	-0.4000000000	0.0100000000	0.0100000000	10	100	0	0.278037
2071000	-0.4000000000	0.0100000000	0.0100000000	10	100	0	0.327846
2072000	-0.4000000000	0.0100000000	0.0100000000	10	100	0	0.364568
2073000	-0.4000000000	0.0100000000	0.0100000000	10	100	0	0.386015
2074000	-0.4000000000	0.0100000000	0.0100000000	10	100	0	0.345851
2075000	-0.4000000000	0.0100000000	0.0100000000	10	100	0	0.347723
2076000	-0.4000000000	0.0100000000	0.0100000000	10	100	0	0.293948
2077000	-0.4000000000	0.0100000000	0.0100000000	10	100	0	0.259890
2078000	-0.4000000000	0.0100000000	0.0100000000	10	100	0	0.315737
2079000	-0.4000000000	0.0100000000	0.0100000000	10	100	0	0.278037
2080000	-0.4000000000	0.0100000000	0.0100000000	10	100	0	0.310548
2081000	-0.4000000000	0.0100000000	0.0100000000	10	100	0	0.384000
2082000	-0.4000000000	0.0100000000	0.0100000000	10	100	0	0.345851
2083000	-0.4000000000	0.0100000000	0.0100000000	10	100	0	0.327846
2084000	-0.4000000000	0.0100000000	0.0100000000	10	100	0	0.286062
2085000	-0.4000000000	0.0100000000	0.0100000000	10	100	0	0.293948
2086000	-0.4000000000	0.0100000000	0.0100000000	10	100	0	0.262804
2087000	-0.4000000000	0.0100000000	0.0100000000	10	100	0	0.278037
2088000	-0.4000000000	0.0100000000	0.0100000000	10	100	0	0.310548
2089000	-0.4000000000	0.0100000000	0.0100000000	10	100	0	0.364568
