time	epistasis_coef	sel_coef	mu_prob	Ne	L	k_start	mean_fitness
1500000	0.6000000000	0.0010000000	0.1000000000	100	100	0	0.995219
1501000	0.6000000000	0.0010000000	0.1000000000	100	100	0	0.995246
1502000	0.6000000000	0.0010000000	0.1000000000	100	100	0	0.995251
1503000	0.6000000000	0.0010000000	0.1000000000	100	100	0	0.995323
1504000	0.6000000000	0.0010000000	0.1000000000	100	100	0	0.995205
1505000	0.6000000000	0.0010000000	0.1000000000	100	100	0	0.995213
1506000	0.6000000000	0.0010000000	0.1000000000	100	100	0	0.995339
1507000	0.6000000000	0.0010000000	0.1000000000	100	100	0	0.995273
1508000	0.6000000000	0.0010000000	0.1000000000	100	100	0	0.995147
1509000	0.6000000000	0.0010000000	0.1000000000	100	100	0	0.995357
1510000	0.6000000000	0.0010000000	0.1000000000	100	100	0	0.995171
1511000	0.6000000000	0.0010000000	0.1000000000	100	100	0	0.995234
1512000	0.6000000000	0.0010000000	0.1000000000	100	100	0	0.995694
1513000	0.6000000000	0.0010000000	0.1000000000	100	100	0	0.995243
1514000	0.6000000000	0.0010000000	0.1000000000	100	100	0	0.995029
1515000	0.6000000000	0.0010000000	0.1000000000	100	100	0	0.995394
1516000	0.6000000000	0.0010000000	0.1000000000	100	100	0	0.995564
1517000	0.6000000000	0.0010000000	0.1000000000	100	100	0	0.995391
1518000	0.6000000000	0.0010000000	0.1000000000	100	100	0	0.995053
1519000	0.6000000000	0.0010000000	0.1000000000	100	100	0	0.995086
1520000	0.6000000000	0.0010000000	0.1000000000	100	100	0	0.995316
1521000	0.6000000000	0.0010000000	0.1000000000	100	100	0	0.995242
1522000	0.6000000000	0.0010000000	0.1000000000	100	100	0	0.995363
1523000	0.6000000000	0.0010000000	0.1000000000	100	100	0	0.995203
1524000	0.6000000000	0.0010000000	0.1000000000	100	100	0	0.995309
1525000	0.6000000000	0.0010000000	0.1000000000	100	100	0	0.995405
1526000	0.6000000000	0.0010000000	0.1000000000	100	100	0	0.995213
1527000	0.6000000000	0.0010000000	0.1000000000	100	100	0	0.995239
