time	epistasis_coef	sel_coef	mu_prob	Ne	L	k_start	mean_fitness
1500000	-0.8000000000	0.0010000000	0.0100000000	100	100	0	0.891440
1501000	-0.8000000000	0.0010000000	0.0100000000	100	100	0	0.897073
1502000	-0.8000000000	0.0010000000	0.0100000000	100	100	0	0.918766
1503000	-0.8000000000	0.0010000000	0.0100000000	100	100	0	0.933180
1504000	-0.8000000000	0.0010000000	0.0100000000	100	100	0	0.913375
1505000	-0.8000000000	0.0010000000	0.0100000000	100	100	0	0.903752
1506000	-0.8000000000	0.0010000000	0.0100000000	100	100	0	0.877437
1507000	-0.8000000000	0.0010000000	0.0100000000	100	100	0	0.869711
1508000	-0.8000000000	0.0010000000	0.0100000000	100	100	0	0.889187
1509000	-0.8000000000	0.0010000000	0.0100000000	100	100	0	0.900790
1510000	-0.8000000000	0.0010000000	0.0100000000	100	100	0	0.903116
1511000	-0.8000000000	0.0010000000	0.0100000000	100	100	0	0.922550
1512000	-0.8000000000	0.0010000000	0.0100000000	100	100	0	0.916569
1513000	-0.8000000000	0.0010000000	0.0100000000	100	100	0	0.933430
1514000	-0.8000000000	0.0010000000	0.0100000000	100	100	0	0.868526
1515000	-0.8000000000	0.0010000000	0.0100000000	100	100	0	0.892786
1516000	-0.8000000000	0.0010000000	0.0100000000	100	100	0	0.908922
1517000	-0.8000000000	0.0010000000	0.0100000000	100	100	0	0.915109
1518000	-0.8000000000	0.0010000000	0.0100000000	100	100	0	0.865034
1519000	-0.8000000000	0.0010000000	0.0100000000	100	100	0	0.897292
1520000	-0.8000000000	0.0010000000	0.0100000000	100	100	0	0.914231
1521000	-0.8000000000	0.0010000000	0.0100000000	100	100	0	0.906045
1522000	-0.8000000000	0.0010000000	0.0100000000	100	100	0	0.910986
1523000	-0.8000000000	0.0010000000	0.0100000000	100	100	0	0.925712
1524000	-0.8000000000	0.0010000000	0.0100000000	100	100	0	0.899235
1525000	-0.8000000000	0.0010000000	0.0100000000	100	100	0	0.839421
1526000	-0.8000000000	0.0010000000	0.0100000000	100	100	0	0.926144
1527000	-0.8000000000	0.0010000000	0.0100000000	100	100	0	0.943808
