time	epistasis_coef	sel_coef	mu_prob	Ne	L	k_start	mean_fitness
1500000	-0.6000000000	0.0010000000	0.1000000000	100	100	0	0.863947
1501000	-0.6000000000	0.0010000000	0.1000000000	100	100	0	0.779370
1502000	-0.6000000000	0.0010000000	0.1000000000	100	100	0	0.862906
1503000	-0.6000000000	0.0010000000	0.1000000000	100	100	0	0.853383
1504000	-0.6000000000	0.0010000000	0.1000000000	100	100	0	0.821874
1505000	-0.6000000000	0.0010000000	0.1000000000	100	100	0	0.872287
1506000	-0.6000000000	0.0010000000	0.1000000000	100	100	0	0.839156
1507000	-0.6000000000	0.0010000000	0.1000000000	100	100	0	0.815530
1508000	-0.6000000000	0.0010000000	0.1000000000	100	100	0	0.788813
1509000	-0.6000000000	0.0010000000	0.1000000000	100	100	0	0.846084
1510000	-0.6000000000	0.0010000000	0.1000000000	100	100	0	0.845671
1511000	-0.6000000000	0.0010000000	0.1000000000	100	100	0	0.830835
1512000	-0.6000000000	0.0010000000	0.1000000000	100	100	0	0.827866
1513000	-0.6000000000	0.0010000000	0.1000000000	100	100	0	0.809080
1514000	-0.6000000000	0.0010000000	0.1000000000	100	100	0	0.820128
1515000	-0.6000000000	0.0010000000	0.1000000000	100	100	0	0.840013
1516000	-0.6000000000	0.0010000000	0.1000000000	100	100	0	0.829116
1517000	-0.6000000000	0.0010000000	0.1000000000	100	100	0	0.896169
1518000	-0.6000000000	0.0010000000	0.1000000000	100	100	0	0.868968
1519000	-0.6000000000	0.0010000000	0.1000000000	100	100	0	0.795815
1520000	-0.6000000000	0.0010000000	0.1000000000	100	100	0	0.862295
1521000	-0.6000000000	0.0010000000	0.1000000000	100	100	0	0.748966
1522000	-0.6000000000	0.0010000000	0.1000000000	100	100	0	0.822126
1523000	-0.6000000000	0.0010000000	0.1000000000	100	100	0	0.772770
1524000	-0.6000000000	0.0010000000	0.1000000000	100	100	0	0.830300
1525000	-0.6000000000	0.0010000000	0.1000000000	100	100	0	0.817577
1526000	-0.6000000000	0.0010000000	0.1000000000	100	100	0	0.818735
1527000	-0.6000000000	0.0010000000	0.1000000000	100	100	0	0.829240
1528000	-0.6000000000	0.0010000000	0.1000000000	100	100	0	0.861277
1529000	-0.6000000000	0.0010000000	0.1000000000	100	100	0	0.803229
1530000	-0.6000000000	0.0010000000	0.1000000000	100	100	0	0.838419
1531000	-0.6000000000	0.0010000000	0.1000000000	100	100	0	0.853765
1532000	-0.6000000000	0.0010000000	0.1000000000	100	100	0	0.849828
1533000	-0.6000000000	0.0010000000	0.1000000000	100	100	0	0.851452
1534000	-0.6000000000	0.0010000000	0.1000000000	100	100	0	0.833723
1535000	-0.6000000000	0.0010000000	0.1000000000	100	100	0	0.867270
1536000	-0.6000000000	0.0010000000	0.1000000000	100	100	0	0.818879
1537000	-0.6000000000	0.0010000000	0.1000000000	100	100	0	0.810438
1538000	-0.6000000000	0.0010000000	0.1000000000	100	100	0	0.816899
1539000	-0.6000000000	0.0010000000	0.1000000000	100	100	0	0.810921
1540000	-0.6000000000	0.0010000000	0.1000000000	100	100	0	0.827841
1541000	-0.6000000000	0.0010000000	0.1000000000	100	100	0	0.821595
1542000	-0.6000000000	0.0010000000	0.1000000000	100	100	0	0.823844
1543000	-0.6000000000	0.0010000000	0.1000000000	100	100	0	0.788806
1544000	-0.6000000000	0.0010000000	0.1000000000	100	100	0	0.842492
1545000	-0.6000000000	0.0010000000	0.1000000000	100	100	0	0.784180
1546000	-0.6000000000	0.0010000000	0.1000000000	100	100	0	0.779656
1547000	-0.6000000000	0.0010000000	0.1000000000	100	100	0	0.843903
1548000	-0.6000000000	0.0010000000	0.1000000000	100	100	0	0.828568
1549000	-0.6000000000	0.0010000000	0.1000000000	100	100	0	0.800172
1550000	-0.6000000000	0.0010000000	0.1000000000	100	100	0	0.832142
1551000	-0.6000000000	0.0010000000	0.1000000000	100	100	0	0.810839
1552000	-0.6000000000	0.0010000000	0.1000000000	100	100	0	0.834634
1553000	-0.6000000000	0.0010000000	0.1000000000	100	100	0	0.875956
1554000	-0.6000000000	0.0010000000	0.1000000000	100	100	0	0.854668
1555000	-0.6000000000	0.0010000000	0.1000000000	100	100	0	0.812613
1556000	-0.6000000000	0.0010000000	0.1000000000	100	100	0	0.899108
1557000	-0.6000000000	0.0010000000	0.1000000000	100	100	0	0.892017
1558000	-0.6000000000	0.0010000000	0.1000000000	100	100	0	0.826988
1559000	-0.6000000000	0.0010000000	0.1000000000	100	100	0	0.841578
1560000	-0.6000000000	0.0010000000	0.1000000000	100	100	0	0.858893
1561000	-0.6000000000	0.0010000000	0.1000000000	100	100	0	0.828963
1562000	-0.6000000000	0.0010000000	0.1000000000	100	100	0	0.851398
1563000	-0.6000000000	0.0010000000	0.1000000000	100	100	0	0.841480
1564000	-0.6000000000	0.0010000000	0.1000000000	100	100	0	0.791035
1565000	-0.6000000000	0.0010000000	0.1000000000	100	100	0	0.825528
1566000	-0.6000000000	0.0010000000	0.1000000000	100	100	0	0.807580
1567000	-0.6000000000	0.0010000000	0.1000000000	100	100	0	0.836665
1568000	-0.6000000000	0.0010000000	0.1000000000	100	100	0	0.878613
1569000	-0.6000000000	0.0010000000	0.1000000000	100	100	0	0.825594
1570000	-0.6000000000	0.0010000000	0.1000000000	100	100	0	0.864788
1571000	-0.6000000000	0.0010000000	0.1000000000	100	100	0	0.859331
1572000	-0.6000000000	0.0010000000	0.1000000000	100	100	0	0.851346
1573000	-0.6000000000	0.0010000000	0.1000000000	100	100	0	0.814773
1574000	-0.6000000000	0.0010000000	0.1000000000	100	100	0	0.800246
1575000	-0.6000000000	0.0010000000	0.1000000000	100	100	0	0.856546
1576000	-0.6000000000	0.0010000000	0.1000000000	100	100	0	0.814420
1577000	-0.6000000000	0.0010000000	0.1000000000	100	100	0	0.839445
1578000	-0.6000000000	0.0010000000	0.1000000000	100	100	0	0.829856
1579000	-0.6000000000	0.0010000000	0.1000000000	100	100	0	0.823736
1580000	-0.6000000000	0.0010000000	0.1000000000	100	100	0	0.887999
1581000	-0.6000000000	0.0010000000	0.1000000000	100	100	0	0.838335
1582000	-0.6000000000	0.0010000000	0.1000000000	100	100	0	0.779969
1583000	-0.6000000000	0.0010000000	0.1000000000	100	100	0	0.807753
1584000	-0.6000000000	0.0010000000	0.1000000000	100	100	0	0.792078
1585000	-0.6000000000	0.0010000000	0.1000000000	100	100	0	0.846484
1586000	-0.6000000000	0.0010000000	0.1000000000	100	100	0	0.840092
1587000	-0.6000000000	0.0010000000	0.1000000000	100	100	0	0.819065
1588000	-0.6000000000	0.0010000000	0.1000000000	100	100	0	0.813023
1589000	-0.6000000000	0.0010000000	0.1000000000	100	100	0	0.804458
1590000	-0.6000000000	0.0010000000	0.1000000000	100	100	0	0.816320
1591000	-0.6000000000	0.0010000000	0.1000000000	100	100	0	0.812272
