time	epistasis_coef	sel_coef	mu_prob	Ne	L	k_start	mean_fitness
1500000	0.2000000000	0.0010000000	0.0100000000	100	100	0	0.978322
1501000	0.2000000000	0.0010000000	0.0100000000	100	100	0	0.978893
1502000	0.2000000000	0.0010000000	0.0100000000	100	100	0	0.977663
1503000	0.2000000000	0.0010000000	0.0100000000	100	100	0	0.975846
1504000	0.2000000000	0.0010000000	0.0100000000	100	100	0	0.976358
1505000	0.2000000000	0.0010000000	0.0100000000	100	100	0	0.974264
1506000	0.2000000000	0.0010000000	0.0100000000	100	100	0	0.975258
1507000	0.2000000000	0.0010000000	0.0100000000	100	100	0	0.975552
1508000	0.2000000000	0.0010000000	0.0100000000	100	100	0	0.976693
1509000	0.2000000000	0.0010000000	0.0100000000	100	100	0	0.977031
1510000	0.2000000000	0.0010000000	0.0100000000	100	100	0	0.977987
1511000	0.2000000000	0.0010000000	0.0100000000	100	100	0	0.977663
1512000	0.2000000000	0.0010000000	0.0100000000	100	100	0	0.977925
1513000	0.2000000000	0.0010000000	0.0100000000	100	100	0	0.977879
1514000	0.2000000000	0.0010000000	0.0100000000	100	100	0	0.979372
1515000	0.2000000000	0.0010000000	0.0100000000	100	100	0	0.978853
1516000	0.2000000000	0.0010000000	0.0100000000	100	100	0	0.978077
1517000	0.2000000000	0.0010000000	0.0100000000	100	100	0	0.978442
1518000	0.2000000000	0.0010000000	0.0100000000	100	100	0	0.979273
1519000	0.2000000000	0.0010000000	0.0100000000	100	100	0	0.978268
1520000	0.2000000000	0.0010000000	0.0100000000	100	100	0	0.977448
1521000	0.2000000000	0.0010000000	0.0100000000	100	100	0	0.978059
1522000	0.2000000000	0.0010000000	0.0100000000	100	100	0	0.980695
1523000	0.2000000000	0.0010000000	0.0100000000	100	100	0	0.978355
1524000	0.2000000000	0.0010000000	0.0100000000	100	100	0	0.977481
1525000	0.2000000000	0.0010000000	0.0100000000	100	100	0	0.978385
1526000	0.2000000000	0.0010000000	0.0100000000	100	100	0	0.979953
1527000	0.2000000000	0.0010000000	0.0100000000	100	100	0	0.978442
1528000	0.2000000000	0.0010000000	0.0100000000	100	100	0	0.976747
1529000	0.2000000000	0.0010000000	0.0100000000	100	100	0	0.976904
1530000	0.2000000000	0.0010000000	0.0100000000	100	100	0	0.977470
1531000	0.2000000000	0.0010000000	0.0100000000	100	100	0	0.977477
1532000	0.2000000000	0.0010000000	0.0100000000	100	100	0	0.979548
1533000	0.2000000000	0.0010000000	0.0100000000	100	100	0	0.979049
1534000	0.2000000000	0.0010000000	0.0100000000	100	100	0	0.977875
1535000	0.2000000000	0.0010000000	0.0100000000	100	100	0	0.977749
1536000	0.2000000000	0.0010000000	0.0100000000	100	100	0	0.977649
1537000	0.2000000000	0.0010000000	0.0100000000	100	100	0	0.977883
1538000	0.2000000000	0.0010000000	0.0100000000	100	100	0	0.976577
1539000	0.2000000000	0.0010000000	0.0100000000	100	100	0	0.977049
1540000	0.2000000000	0.0010000000	0.0100000000	100	100	0	0.978118
1541000	0.2000000000	0.0010000000	0.0100000000	100	100	0	0.977070
1542000	0.2000000000	0.0010000000	0.0100000000	100	100	0	0.975286
1543000	0.2000000000	0.0010000000	0.0100000000	100	100	0	0.974994
1544000	0.2000000000	0.0010000000	0.0100000000	100	100	0	0.975319
1545000	0.2000000000	0.0010000000	0.0100000000	100	100	0	0.977567
1546000	0.2000000000	0.0010000000	0.0100000000	100	100	0	0.978758
1547000	0.2000000000	0.0010000000	0.0100000000	100	100	0	0.977739
1548000	0.2000000000	0.0010000000	0.0100000000	100	100	0	0.977636
1549000	0.2000000000	0.0010000000	0.0100000000	100	100	0	0.977109
1550000	0.2000000000	0.0010000000	0.0100000000	100	100	0	0.976521
1551000	0.2000000000	0.0010000000	0.0100000000	100	100	0	0.977746
1552000	0.2000000000	0.0010000000	0.0100000000	100	100	0	0.977285
1553000	0.2000000000	0.0010000000	0.0100000000	100	100	0	0.977317
1554000	0.2000000000	0.0010000000	0.0100000000	100	100	0	0.978910
1555000	0.2000000000	0.0010000000	0.0100000000	100	100	0	0.978798
1556000	0.2000000000	0.0010000000	0.0100000000	100	100	0	0.978409
1557000	0.2000000000	0.0010000000	0.0100000000	100	100	0	0.977034
1558000	0.2000000000	0.0010000000	0.0100000000	100	100	0	0.977922
1559000	0.2000000000	0.0010000000	0.0100000000	100	100	0	0.977206
1560000	0.2000000000	0.0010000000	0.0100000000	100	100	0	0.978984
1561000	0.2000000000	0.0010000000	0.0100000000	100	100	0	0.979086
1562000	0.2000000000	0.0010000000	0.0100000000	100	100	0	0.979750
1563000	0.2000000000	0.0010000000	0.0100000000	100	100	0	0.980995
1564000	0.2000000000	0.0010000000	0.0100000000	100	100	0	0.980592
1565000	0.2000000000	0.0010000000	0.0100000000	100	100	0	0.980916
1566000	0.2000000000	0.0010000000	0.0100000000	100	100	0	0.981490
1567000	0.2000000000	0.0010000000	0.0100000000	100	100	0	0.981368
1568000	0.2000000000	0.0010000000	0.0100000000	100	100	0	0.981251
1569000	0.2000000000	0.0010000000	0.0100000000	100	100	0	0.982229
1570000	0.2000000000	0.0010000000	0.0100000000	100	100	0	0.981620
1571000	0.2000000000	0.0010000000	0.0100000000	100	100	0	0.980186
1572000	0.2000000000	0.0010000000	0.0100000000	100	100	0	0.978930
1573000	0.2000000000	0.0010000000	0.0100000000	100	100	0	0.979123
1574000	0.2000000000	0.0010000000	0.0100000000	100	100	0	0.978451
1575000	0.2000000000	0.0010000000	0.0100000000	100	100	0	0.978326
1576000	0.2000000000	0.0010000000	0.0100000000	100	100	0	0.977667
1577000	0.2000000000	0.0010000000	0.0100000000	100	100	0	0.978409
1578000	0.2000000000	0.0010000000	0.0100000000	100	100	0	0.978485
1579000	0.2000000000	0.0010000000	0.0100000000	100	100	0	0.978634
1580000	0.2000000000	0.0010000000	0.0100000000	100	100	0	0.979886
1581000	0.2000000000	0.0010000000	0.0100000000	100	100	0	0.977821
1582000	0.2000000000	0.0010000000	0.0100000000	100	100	0	0.975472
1583000	0.2000000000	0.0010000000	0.0100000000	100	100	0	0.975976
1584000	0.2000000000	0.0010000000	0.0100000000	100	100	0	0.976598
1585000	0.2000000000	0.0010000000	0.0100000000	100	100	0	0.976988
1586000	0.2000000000	0.0010000000	0.0100000000	100	100	0	0.975913
1587000	0.2000000000	0.0010000000	0.0100000000	100	100	0	0.976721
1588000	0.2000000000	0.0010000000	0.0100000000	100	100	0	0.976036
1589000	0.2000000000	0.0010000000	0.0100000000	100	100	0	0.974491
1590000	0.2000000000	0.0010000000	0.0100000000	100	100	0	0.975864
1591000	0.2000000000	0.0010000000	0.0100000000	100	100	0	0.975794
1592000	0.2000000000	0.0010000000	0.0100000000	100	100	0	0.976424
1593000	0.2000000000	0.0010000000	0.0100000000	100	100	0	0.976835
1594000	0.2000000000	0.0010000000	0.0100000000	100	100	0	0.978128
1595000	0.2000000000	0.0010000000	0.0100000000	100	100	0	0.978871
1596000	0.2000000000	0.0010000000	0.0100000000	100	100	0	0.978722
1597000	0.2000000000	0.0010000000	0.0100000000	100	100	0	0.980662
1598000	0.2000000000	0.0010000000	0.0100000000	100	100	0	0.980245
1599000	0.2000000000	0.0010000000	0.0100000000	100	100	0	0.978218
1600000	0.2000000000	0.0010000000	0.0100000000	100	100	0	0.978943
1601000	0.2000000000	0.0010000000	0.0100000000	100	100	0	0.976793
1602000	0.2000000000	0.0010000000	0.0100000000	100	100	0	0.975910
1603000	0.2000000000	0.0010000000	0.0100000000	100	100	0	0.974246
1604000	0.2000000000	0.0010000000	0.0100000000	100	100	0	0.974553
1605000	0.2000000000	0.0010000000	0.0100000000	100	100	0	0.974415
1606000	0.2000000000	0.0010000000	0.0100000000	100	100	0	0.974077
1607000	0.2000000000	0.0010000000	0.0100000000	100	100	0	0.976177
1608000	0.2000000000	0.0010000000	0.0100000000	100	100	0	0.975451
1609000	0.2000000000	0.0010000000	0.0100000000	100	100	0	0.975759
1610000	0.2000000000	0.0010000000	0.0100000000	100	100	0	0.975304
1611000	0.2000000000	0.0010000000	0.0100000000	100	100	0	0.975618
1612000	0.2000000000	0.0010000000	0.0100000000	100	100	0	0.976175
