time,sel_coef,mu_prob,Ne,L,k_start,q_prob,mean_fitness,epistasis_coef
0,0.00100,0.00010,100,100,0,0.0100,1.00000000,0.99993685
1000,0.00100,0.00010,100,100,0,0.0100,1.00000000,1.00308535
2000,0.00100,0.00010,100,100,0,0.0100,1.00000000,1.00064590
3000,0.00100,0.00010,100,100,0,0.0100,1.00000000,1.00181530
4000,0.00100,0.00010,100,100,0,0.0100,0.99964018,1.00238257
5000,0.00100,0.00010,100,100,0,0.0100,1.00000000,1.00054469
6000,0.00100,0.00010,100,100,0,0.0100,1.00000000,0.99922264
7000,0.00100,0.00010,100,100,0,0.0100,1.00000000,0.99925501
8000,0.00100,0.00010,100,100,0,0.0100,1.00000000,1.00081751
9000,0.00100,0.00010,100,100,0,0.0100,1.00000000,1.00252118
10000,0.00100,0.00010,100,100,0,0.0100,1.00000000,0.99862331
11000,0.00100,0.00010,100,100,0,0.0100,1.00000000,1.00223384
12000,0.00100,0.00010,100,100,0,0.0100,1.00000000,1.00235751
13000,0.00100,0.00010,100,100,0,0.0100,1.00000000,1.00906909
14000,0.00100,0.00010,100,100,0,0.0100,1.00000000,1.00854253
15000,0.00100,0.00010,100,100,0,0.0100,1.00000000,1.00915946
16000,0.00100,0.00010,100,100,0,0.0100,1.00000000,1.01380238
17000,0.00100,0.00010,100,100,0,0.0100,1.00000000,1.01604662
18000,0.00100,0.00010,100,100,0,0.0100,0.99999000,1.02057144
19000,0.00100,0.00010,100,100,0,0.0100,0.99997001,1.02164222
20000,0.00100,0.00010,100,100,0,0.0100,1.00000000,1.01973306
21000,0.00100,0.00010,100,100,0,0.0100,1.00000000,1.02065695
22000,0.00100,0.00010,100,100,0,0.0100,0.99900050,1.02258158
23000,0.00100,0.00010,100,100,0,0.0100,0.99900050,1.02254359
24000,0.00100,0.00010,100,100,0,0.0100,0.99900050,1.02733865
25000,0.00100,0.00010,100,100,0,0.0100,0.99900050,1.02683293
26000,0.00100,0.00010,100,100,0,0.0100,0.99900050,1.02675215
27000,0.00100,0.00010,100,100,0,0.0100,0.99893359,1.02746160
28000,0.00100,0.00010,100,100,0,0.0100,0.99794647,1.02871885
29000,0.00100,0.00010,100,100,0,0.0100,0.99794190,1.03143573
30000,0.00100,0.00010,100,100,0,0.0100,0.99793063,1.03872200
31000,0.00100,0.00010,100,100,0,0.0100,0.99793541,1.03517475
32000,0.00100,0.00010,100,100,0,0.0100,0.99793848,1.03240488
33000,0.00100,0.00010,100,100,0,0.0100,0.99794141,1.03037972
34000,0.00100,0.00010,100,100,0,0.0100,0.99794865,1.02535255
35000,0.00100,0.00010,100,100,0,0.0100,0.99794051,1.03013021
36000,0.00100,0.00010,100,100,0,0.0100,0.99793322,1.03415597
37000,0.00100,0.00010,100,100,0,0.0100,0.99793567,1.03222931
38000,0.00100,0.00010,100,100,0,0.0100,0.99792755,1.03795584
39000,0.00100,0.00010,100,100,0,0.0100,0.99792006,1.04109318
40000,0.00100,0.00010,100,100,0,0.0100,0.99788344,1.04390423
41000,0.00100,0.00010,100,100,0,0.0100,0.99791685,1.04322613
42000,0.00100,0.00010,100,100,0,0.0100,0.99790712,1.04915596
43000,0.00100,0.00010,100,100,0,0.0100,0.99790716,1.04820820
44000,0.00100,0.00010,100,100,0,0.0100,0.99674453,1.04517680
45000,0.00100,0.00010,100,100,0,0.0100,0.99671949,1.04923235
46000,0.00100,0.00010,100,100,0,0.0100,0.99673109,1.04735719
47000,0.00100,0.00010,100,100,0,0.0100,0.99672758,1.04789446
48000,0.00100,0.00010,100,100,0,0.0100,0.99658166,1.04953876
49000,0.00100,0.00010,100,100,0,0.0100,0.99672189,1.04985715
50000,0.00100,0.00010,100,100,0,0.0100,0.99671402,1.04717034
51000,0.00100,0.00010,100,100,0,0.0100,0.99672455,1.04887727
52000,0.00100,0.00010,100,100,0,0.0100,0.99674730,1.04323402
53000,0.00100,0.00010,100,100,0,0.0100,0.99675933,1.03828532
54000,0.00100,0.00010,100,100,0,0.0100,0.99675176,1.03996388
55000,0.00100,0.00010,100,100,0,0.0100,0.99676088,1.03610177
56000,0.00100,0.00010,100,100,0,0.0100,0.99675926,1.03790349
57000,0.00100,0.00010,100,100,0,0.0100,0.99676461,1.03802220
58000,0.00100,0.00010,100,100,0,0.0100,0.99676089,1.03834033
59000,0.00100,0.00010,100,100,0,0.0100,0.99677380,1.03599652
60000,0.00100,0.00010,100,100,0,0.0100,0.99676351,1.03805051
61000,0.00100,0.00010,100,100,0,0.0100,0.99675581,1.04041341
62000,0.00100,0.00010,100,100,0,0.0100,0.99675602,1.03937474
63000,0.00100,0.00010,100,100,0,0.0100,0.99678595,1.03139464
64000,0.00100,0.00010,100,100,0,0.0100,0.99676911,1.03538299
65000,0.00100,0.00010,100,100,0,0.0100,0.99676411,1.03251698
66000,0.00100,0.00010,100,100,0,0.0100,0.99674492,1.03961512
67000,0.00100,0.00010,100,100,0,0.0100,0.99422637,1.03585205
68000,0.00100,0.00010,100,100,0,0.0100,0.99295120,1.03190243
69000,0.00100,0.00010,100,100,0,0.0100,0.99287271,1.03564963
70000,0.00100,0.00010,100,100,0,0.0100,0.99281806,1.03588943
71000,0.00100,0.00010,100,100,0,0.0100,0.99299548,1.03063494
72000,0.00100,0.00010,100,100,0,0.0100,0.99280523,1.03407186
73000,0.00100,0.00010,100,100,0,0.0100,0.99155330,1.02910953
74000,0.00100,0.00010,100,100,0,0.0100,0.99156488,1.02538744
75000,0.00100,0.00010,100,100,0,0.0100,0.99157343,1.02602650
76000,0.00100,0.00010,100,100,0,0.0100,0.98999105,1.02817489
77000,0.00100,0.00010,100,100,0,0.0100,0.99017604,1.02247036
78000,0.00100,0.00010,100,100,0,0.0100,0.99012958,1.02101524
79000,0.00100,0.00010,100,100,0,0.0100,0.99026004,1.01671686
80000,0.00100,0.00010,100,100,0,0.0100,0.99018336,1.01650971
81000,0.00100,0.00010,100,100,0,0.0100,0.99024515,1.01332370
82000,0.00100,0.00010,100,100,0,0.0100,0.99009016,1.01423517
83000,0.00100,0.00010,100,100,0,0.0100,0.99016858,1.01213774
84000,0.00100,0.00010,100,100,0,0.0100,0.99001016,1.01661204
85000,0.00100,0.00010,100,100,0,0.0100,0.99000502,1.01270220
86000,0.00100,0.00010,100,100,0,0.0100,0.99003210,1.01286074
87000,0.00100,0.00010,100,100,0,0.0100,0.98992955,1.00594630
88000,0.00100,0.00010,100,100,0,0.0100,0.99023384,1.00481874
89000,0.00100,0.00010,100,100,0,0.0100,0.99018494,1.00601006
