time,sel_coef,mu_prob,Ne,L,k_start,q_prob,mean_fitness,epistasis_coef
87000,0.00100,0.00010,100,100,0,0.0100,0.97856449,1.40815403
88000,0.00100,0.00010,100,100,0,0.0100,0.97847032,1.40649427
89000,0.00100,0.00010,100,100,0,0.0100,0.97813488,1.40703354
90000,0.00100,0.00010,100,100,0,0.0100,0.97736496,1.40418048
91000,0.00100,0.00010,100,100,0,0.0100,0.97857865,1.39435907
92000,0.00100,0.00010,100,100,0,0.0100,0.97799099,1.39638940
93000,0.00100,0.00010,100,100,0,0.0100,0.97023266,1.40188955
94000,0.00100,0.00010,100,100,0,0.0100,0.97024378,1.39845659
95000,0.00100,0.00010,100,100,0,0.0100,0.96991975,1.40169235
96000,0.00100,0.00010,100,100,0,0.0100,0.97065014,1.40023306
97000,0.00100,0.00010,100,100,0,0.0100,0.97590042,1.39548200
98000,0.00100,0.00010,100,100,0,0.0100,0.97657877,1.39977618
99000,0.00100,0.00010,100,100,0,0.0100,0.97293442,1.40389553
100000,0.00100,0.00010,100,100,0,0.0100,0.96357925,1.39944375
101000,0.00100,0.00010,100,100,0,0.0100,0.96359858,1.39559555
102000,0.00100,0.00010,100,100,0,0.0100,0.96327791,1.39634851
103000,0.00100,0.00010,100,100,0,0.0100,0.95413305,1.39882444
104000,0.00100,0.00010,100,100,0,0.0100,0.95651257,1.39656339
105000,0.00100,0.00010,100,100,0,0.0100,0.95615243,1.38841785
106000,0.00100,0.00010,100,100,0,0.0100,0.95572315,1.38602220
107000,0.00100,0.00010,100,100,0,0.0100,0.95647385,1.38152484
108000,0.00100,0.00010,100,100,0,0.0100,0.96041460,1.37761388
109000,0.00100,0.00010,100,100,0,0.0100,0.96355154,1.38698334
110000,0.00100,0.00010,100,100,0,0.0100,0.97018886,1.38472164
111000,0.00100,0.00010,100,100,0,0.0100,0.96867571,1.39256002
112000,0.00100,0.00010,100,100,0,0.0100,0.96928607,1.38389019
113000,0.00100,0.00010,100,100,0,0.0100,0.96806076,1.38745360
114000,0.00100,0.00010,100,100,0,0.0100,0.96782375,1.39017126
115000,0.00100,0.00010,100,100,0,0.0100,0.96801857,1.39501492
116000,0.00100,0.00010,100,100,0,0.0100,0.96213183,1.39953052
117000,0.00100,0.00010,100,100,0,0.0100,0.96573029,1.40173085
118000,0.00100,0.00010,100,100,0,0.0100,0.96431939,1.40543674
119000,0.00100,0.00010,100,100,0,0.0100,0.95790985,1.40690877
120000,0.00100,0.00010,100,100,0,0.0100,0.96377500,1.40546253
121000,0.00100,0.00010,100,100,0,0.0100,0.96187422,1.40923530
122000,0.00100,0.00010,100,100,0,0.0100,0.96199866,1.41219721
123000,0.00100,0.00010,100,100,0,0.0100,0.95454666,1.41112996
124000,0.00100,0.00010,100,100,0,0.0100,0.95520938,1.41833031
125000,0.00100,0.00010,100,100,0,0.0100,0.95760201,1.41515360
126000,0.00100,0.00010,100,100,0,0.0100,0.95922219,1.40963430
127000,0.00100,0.00010,100,100,0,0.0100,0.95836684,1.41657382
128000,0.00100,0.00010,100,100,0,0.0100,0.95747105,1.42138662
129000,0.00100,0.00010,100,100,0,0.0100,0.95465274,1.42532916
130000,0.00100,0.00010,100,100,0,0.0100,0.95457180,1.41698804
131000,0.00100,0.00010,100,100,0,0.0100,0.95354279,1.41756252
132000,0.00100,0.00010,100,100,0,0.0100,0.95627849,1.41287321
133000,0.00100,0.00010,100,100,0,0.0100,0.95736191,1.40619567
134000,0.00100,0.00010,100,100,0,0.0100,0.95594587,1.40991220
135000,0.00100,0.00010,100,100,0,0.0100,0.95477039,1.41088535
136000,0.00100,0.00010,100,100,0,0.0100,0.95294945,1.42255773
137000,0.00100,0.00010,100,100,0,0.0100,0.95081476,1.42991419
138000,0.00100,0.00010,100,100,0,0.0100,0.94960247,1.43305696
139000,0.00100,0.00010,100,100,0,0.0100,0.94925255,1.43228246
140000,0.00100,0.00010,100,100,0,0.0100,0.95266873,1.42025316
141000,0.00100,0.00010,100,100,0,0.0100,0.94377543,1.41449831
142000,0.00100,0.00010,100,100,0,0.0100,0.94031291,1.41524997
143000,0.00100,0.00010,100,100,0,0.0100,0.93120034,1.40939002
144000,0.00100,0.00010,100,100,0,0.0100,0.92148836,1.41176695
145000,0.00100,0.00010,100,100,0,0.0100,0.91824281,1.40759051
146000,0.00100,0.00010,100,100,0,0.0100,0.92342692,1.40134203
147000,0.00100,0.00010,100,100,0,0.0100,0.92321865,1.39928602
148000,0.00100,0.00010,100,100,0,0.0100,0.92003857,1.40372143
149000,0.00100,0.00010,100,100,0,0.0100,0.91580967,1.41202288
150000,0.00100,0.00010,100,100,0,0.0100,0.91535923,1.40848726
151000,0.00100,0.00010,100,100,0,0.0100,0.91559115,1.41227991
152000,0.00100,0.00010,100,100,0,0.0100,0.92538118,1.41494436
153000,0.00100,0.00010,100,100,0,0.0100,0.92584353,1.41263465
154000,0.00100,0.00010,100,100,0,0.0100,0.92244871,1.41947454
155000,0.00100,0.00010,100,100,0,0.0100,0.92072427,1.42394824
156000,0.00100,0.00010,100,100,0,0.0100,0.91940587,1.43413079
157000,0.00100,0.00010,100,100,0,0.0100,0.91701160,1.43675788
158000,0.00100,0.00010,100,100,0,0.0100,0.91548226,1.44065247
159000,0.00100,0.00010,100,100,0,0.0100,0.90610041,1.43975143
160000,0.00100,0.00010,100,100,0,0.0100,0.90577072,1.43528451
161000,0.00100,0.00010,100,100,0,0.0100,0.90573954,1.43210989
162000,0.00100,0.00010,100,100,0,0.0100,0.90419871,1.43449178
163000,0.00100,0.00010,100,100,0,0.0100,0.89334147,1.43915289
164000,0.00100,0.00010,100,100,0,0.0100,0.89483144,1.43545837
165000,0.00100,0.00010,100,100,0,0.0100,0.89533963,1.43747487
166000,0.00100,0.00010,100,100,0,0.0100,0.89242995,1.44318738
167000,0.00100,0.00010,100,100,0,0.0100,0.89243289,1.44347327
168000,0.00100,0.00010,100,100,0,0.0100,0.89359455,1.44494265
169000,0.00100,0.00010,100,100,0,0.0100,0.88989712,1.44777988
170000,0.00100,0.00010,100,100,0,0.0100,0.88244886,1.45041752
171000,0.00100,0.00010,100,100,0,0.0100,0.88432226,1.44173678
172000,0.00100,0.00010,100,100,0,0.0100,0.88731887,1.44066095
173000,0.00100,0.00010,100,100,0,0.0100,0.88909382,1.43326471
174000,0.00100,0.00010,100,100,0,0.0100,0.88754386,1.43912101
175000,0.00100,0.00010,100,100,0,0.0100,0.88768670,1.44287105
176000,0.00100,0.00010,100,100,0,0.0100,0.88641776,1.44696068
177000,0.00100,0.00010,100,100,0,0.0100,0.88616932,1.44522869
178000,0.00100,0.00010,100,100,0,0.0100,0.88880862,1.43857737
179000,0.00100,0.00010,100,100,0,0.0100,0.88984845,1.43854257
180000,0.00100,0.00010,100,100,0,0.0100,0.89115038,1.43600604
181000,0.00100,0.00010,100,100,0,0.0100,0.88540209,1.42920874
182000,0.00100,0.00010,100,100,0,0.0100,0.88461951,1.42694106
183000,0.00100,0.00010,100,100,0,0.0100,0.88632123,1.42620047
184000,0.00100,0.00010,100,100,0,0.0100,0.88156403,1.42344744
185000,0.00100,0.00010,100,100,0,0.0100,0.88158612,1.42171705
186000,0.00100,0.00010,100,100,0,0.0100,0.88278534,1.41468218
187000,0.00100,0.00010,100,100,0,0.0100,0.88317936,1.40734596
188000,0.00100,0.00010,100,100,0,0.0100,0.88086899,1.41226088
189000,0.00100,0.00010,100,100,0,0.0100,0.88300765,1.40757524
190000,0.00100,0.00010,100,100,0,0.0100,0.88638683,1.39716361
191000,0.00100,0.00010,100,100,0,0.0100,0.88371860,1.40448562
192000,0.00100,0.00010,100,100,0,0.0100,0.88134411,1.40699547
193000,0.00100,0.00010,100,100,0,0.0100,0.88528451,1.40002215
194000,0.00100,0.00010,100,100,0,0.0100,0.88613310,1.39752341
195000,0.00100,0.00010,100,100,0,0.0100,0.87863910,1.39431672
196000,0.00100,0.00010,100,100,0,0.0100,0.87663111,1.39730779
197000,0.00100,0.00010,100,100,0,0.0100,0.88082356,1.39393203
198000,0.00100,0.00010,100,100,0,0.0100,0.87992441,1.39545940
199000,0.00100,0.00010,100,100,0,0.0100,0.88323191,1.38871795
200000,0.00100,0.00010,100,100,0,0.0100,0.88409791,1.38538987
201000,0.00100,0.00010,100,100,0,0.0100,0.88536320,1.38699482
202000,0.00100,0.00010,100,100,0,0.0100,0.88644977,1.37966989
203000,0.00100,0.00010,100,100,0,0.0100,0.88613750,1.37841733
204000,0.00100,0.00010,100,100,0,0.0100,0.88085267,1.38551179
205000,0.00100,0.00010,100,100,0,0.0100,0.87984388,1.38942730
206000,0.00100,0.00010,100,100,0,0.0100,0.88132160,1.38139101
207000,0.00100,0.00010,100,100,0,0.0100,0.88075014,1.37659889
208000,0.00100,0.00010,100,100,0,0.0100,0.88002532,1.38403468
209000,0.00100,0.00010,100,100,0,0.0100,0.88147266,1.38513319
210000,0.00100,0.00010,100,100,0,0.0100,0.87784609,1.39070308
211000,0.00100,0.00010,100,100,0,0.0100,0.87941408,1.38190637
212000,0.00100,0.00010,100,100,0,0.0100,0.88220787,1.37645938
213000,0.00100,0.00010,100,100,0,0.0100,0.88318609,1.38013156
214000,0.00100,0.00010,100,100,0,0.0100,0.88593925,1.36967490
215000,0.00100,0.00010,100,100,0,0.0100,0.88570404,1.37495271
216000,0.00100,0.00010,100,100,0,0.0100,0.88228957,1.37864043
217000,0.00100,0.00010,100,100,0,0.0100,0.87974640,1.38403831
218000,0.00100,0.00010,100,100,0,0.0100,0.87680518,1.38753689
219000,0.00100,0.00010,100,100,0,0.0100,0.88133532,1.37088822
220000,0.00100,0.00010,100,100,0,0.0100,0.88349867,1.37080035
221000,0.00100,0.00010,100,100,0,0.0100,0.88134628,1.36605653
222000,0.00100,0.00010,100,100,0,0.0100,0.87034084,1.36779754
223000,0.00100,0.00010,100,100,0,0.0100,0.87013175,1.37114837
224000,0.00100,0.00010,100,100,0,0.0100,0.87114452,1.36915462
225000,0.00100,0.00010,100,100,0,0.0100,0.87100277,1.36677003
226000,0.00100,0.00010,100,100,0,0.0100,0.87275337,1.35779772
227000,0.00100,0.00010,100,100,0,0.0100,0.87275259,1.35986269
228000,0.00100,0.00010,100,100,0,0.0100,0.87277011,1.35898108
229000,0.00100,0.00010,100,100,0,0.0100,0.86812450,1.37007051
230000,0.00100,0.00010,100,100,0,0.0100,0.86345980,1.37289000
231000,0.00100,0.00010,100,100,0,0.0100,0.86617111,1.36974235
232000,0.00100,0.00010,100,100,0,0.0100,0.86473088,1.37239737
233000,0.00100,0.00010,100,100,0,0.0100,0.86557190,1.37406392
