time,sel_coef,mu_prob,Ne,L,k_start,q_prob,mean_fitness,epistasis_coef
0,0.00100,0.00010,100,100,0,0.1000,1.00000000,1.99937272
1000,0.00100,0.00010,100,100,0,0.1000,1.00000000,2.03655872
2000,0.00100,0.00010,100,100,0,0.1000,0.99900050,2.02162076
3000,0.00100,0.00010,100,100,0,0.1000,0.99900050,2.04171662
4000,0.00100,0.00010,100,100,0,0.1000,0.99573818,2.04292864
5000,0.00100,0.00010,100,100,0,0.1000,0.99568676,2.04366753
6000,0.00100,0.00010,100,100,0,0.1000,0.99568615,2.02513625
7000,0.00100,0.00010,100,100,0,0.1000,0.99566061,2.00381300
8000,0.00100,0.00010,100,100,0,0.1000,0.99569695,1.98326156
9000,0.00100,0.00010,100,100,0,0.1000,0.99566978,1.97900944
10000,0.00100,0.00010,100,100,0,0.1000,0.99573058,1.96068863
11000,0.00100,0.00010,100,100,0,0.1000,0.99571111,1.96314535
12000,0.00100,0.00010,100,100,0,0.1000,0.99572631,1.95488020
13000,0.00100,0.00010,100,100,0,0.1000,0.99565743,1.96109434
14000,0.00100,0.00010,100,100,0,0.1000,0.99558132,1.98478284
15000,0.00100,0.00010,100,100,0,0.1000,0.99548116,2.00337321
16000,0.00100,0.00010,100,100,0,0.1000,0.99536879,2.00385046
17000,0.00100,0.00010,100,100,0,0.1000,0.99524924,2.01253365
18000,0.00100,0.00010,100,100,0,0.1000,0.99494237,2.02761952
19000,0.00100,0.00010,100,100,0,0.1000,0.99463058,2.04226196
20000,0.00100,0.00010,100,100,0,0.1000,0.99489152,2.00786876
21000,0.00100,0.00010,100,100,0,0.1000,0.99420731,2.02809077
22000,0.00100,0.00010,100,100,0,0.1000,0.99346844,2.00382750
23000,0.00100,0.00010,100,100,0,0.1000,0.99277094,1.98963986
24000,0.00100,0.00010,100,100,0,0.1000,0.98791059,2.01837227
25000,0.00100,0.00010,100,100,0,0.1000,0.98409755,2.01603627
26000,0.00100,0.00010,100,100,0,0.1000,0.98430819,2.08446627
27000,0.00100,0.00010,100,100,0,0.1000,0.98399246,2.06589065
28000,0.00100,0.00010,100,100,0,0.1000,0.95211811,2.03275974
29000,0.00100,0.00010,100,100,0,0.1000,0.93679480,2.03030820
30000,0.00100,0.00010,100,100,0,0.1000,0.93586441,2.02039362
31000,0.00100,0.00010,100,100,0,0.1000,0.93675486,2.00900243
32000,0.00100,0.00010,100,100,0,0.1000,0.93397681,2.02268372
33000,0.00100,0.00010,100,100,0,0.1000,0.93379299,2.01932219
34000,0.00100,0.00010,100,100,0,0.1000,0.92744404,2.06638243
35000,0.00100,0.00010,100,100,0,0.1000,0.93025362,2.01926364
36000,0.00100,0.00010,100,100,0,0.1000,0.92353562,2.02195569
37000,0.00100,0.00010,100,100,0,0.1000,0.92470650,1.99984036
38000,0.00100,0.00010,100,100,0,0.1000,0.92908115,1.99400180
39000,0.00100,0.00010,100,100,0,0.1000,0.93193576,1.98129358
40000,0.00100,0.00010,100,100,0,0.1000,0.95725119,1.97762239
41000,0.00100,0.00010,100,100,0,0.1000,0.95493914,1.97291197
42000,0.00100,0.00010,100,100,0,0.1000,0.95240847,2.00748147
43000,0.00100,0.00010,100,100,0,0.1000,0.95210433,2.01628186
