time,sel_coef,mu_prob,Ne,L,k_start,q_prob,mean_fitness,epistasis_coef
0,0.00100,0.00010,100,100,0,0.0100,1.00000000,1.99987370
1000,0.00100,0.00010,100,100,0,0.0100,1.00000000,2.00617070
2000,0.00100,0.00010,100,100,0,0.0100,1.00000000,2.00129180
3000,0.00100,0.00010,100,100,0,0.0100,1.00000000,2.00363059
4000,0.00100,0.00010,100,100,0,0.0100,0.99964018,2.00476513
5000,0.00100,0.00010,100,100,0,0.0100,1.00000000,2.00108937
6000,0.00100,0.00010,100,100,0,0.0100,1.00000000,1.99844528
7000,0.00100,0.00010,100,100,0,0.0100,1.00000000,1.99851001
8000,0.00100,0.00010,100,100,0,0.0100,1.00000000,2.00163501
9000,0.00100,0.00010,100,100,0,0.0100,1.00000000,2.00504237
10000,0.00100,0.00010,100,100,0,0.0100,1.00000000,1.99724661
11000,0.00100,0.00010,100,100,0,0.0100,1.00000000,2.00446768
12000,0.00100,0.00010,100,100,0,0.0100,1.00000000,2.00471503
13000,0.00100,0.00010,100,100,0,0.0100,1.00000000,2.01813818
14000,0.00100,0.00010,100,100,0,0.0100,1.00000000,2.01708507
15000,0.00100,0.00010,100,100,0,0.0100,1.00000000,2.01831891
16000,0.00100,0.00010,100,100,0,0.0100,1.00000000,2.02760476
17000,0.00100,0.00010,100,100,0,0.0100,1.00000000,2.03209325
18000,0.00100,0.00010,100,100,0,0.0100,0.99999000,2.04114287
19000,0.00100,0.00010,100,100,0,0.0100,0.99997001,2.04328445
20000,0.00100,0.00010,100,100,0,0.0100,1.00000000,2.03946613
21000,0.00100,0.00010,100,100,0,0.0100,1.00000000,2.04131389
22000,0.00100,0.00010,100,100,0,0.0100,0.99900050,2.04516315
23000,0.00100,0.00010,100,100,0,0.0100,0.99900050,2.04508718
24000,0.00100,0.00010,100,100,0,0.0100,0.99900050,2.05467731
25000,0.00100,0.00010,100,100,0,0.0100,0.99900050,2.05366585
26000,0.00100,0.00010,100,100,0,0.0100,0.99900050,2.05350430
27000,0.00100,0.00010,100,100,0,0.0100,0.99877188,2.05492320
28000,0.00100,0.00010,100,100,0,0.0100,0.99571695,2.05743770
29000,0.00100,0.00010,100,100,0,0.0100,0.99569499,2.06287146
30000,0.00100,0.00010,100,100,0,0.0100,0.99564410,2.07744399
31000,0.00100,0.00010,100,100,0,0.0100,0.99566254,2.07034950
32000,0.00100,0.00010,100,100,0,0.0100,0.99567120,2.06480976
33000,0.00100,0.00010,100,100,0,0.0100,0.99568370,2.06075943
34000,0.00100,0.00010,100,100,0,0.0100,0.99571453,2.05070511
35000,0.00100,0.00010,100,100,0,0.0100,0.99567473,2.06026043
36000,0.00100,0.00010,100,100,0,0.0100,0.99563690,2.06831194
37000,0.00100,0.00010,100,100,0,0.0100,0.99564578,2.06445862
38000,0.00100,0.00010,100,100,0,0.0100,0.99561162,2.07591168
39000,0.00100,0.00010,100,100,0,0.0100,0.99556462,2.08218636
40000,0.00100,0.00010,100,100,0,0.0100,0.99543934,2.08780846
41000,0.00100,0.00010,100,100,0,0.0100,0.99555113,2.08645227
42000,0.00100,0.00010,100,100,0,0.0100,0.99550219,2.09831192
43000,0.00100,0.00010,100,100,0,0.0100,0.99549580,2.09641640
44000,0.00100,0.00010,100,100,0,0.0100,0.98858544,2.09035359
45000,0.00100,0.00010,100,100,0,0.0100,0.98831068,2.09846471
46000,0.00100,0.00010,100,100,0,0.0100,0.98844502,2.09471438
47000,0.00100,0.00010,100,100,0,0.0100,0.98839957,2.09578892
48000,0.00100,0.00010,100,100,0,0.0100,0.98748134,2.09907753
49000,0.00100,0.00010,100,100,0,0.0100,0.98838025,2.09971430
50000,0.00100,0.00010,100,100,0,0.0100,0.98834855,2.09434067
51000,0.00100,0.00010,100,100,0,0.0100,0.98840097,2.09775453
52000,0.00100,0.00010,100,100,0,0.0100,0.98857077,2.08646805
53000,0.00100,0.00010,100,100,0,0.0100,0.98860508,2.07657065
54000,0.00100,0.00010,100,100,0,0.0100,0.97699700,2.07992776
55000,0.00100,0.00010,100,100,0,0.0100,0.97692538,2.07220354
56000,0.00100,0.00010,100,100,0,0.0100,0.97705179,2.07580699
57000,0.00100,0.00010,100,100,0,0.0100,0.97748193,2.07604441
58000,0.00100,0.00010,100,100,0,0.0100,0.97743438,2.07668066
59000,0.00100,0.00010,100,100,0,0.0100,0.97786107,2.07199305
60000,0.00100,0.00010,100,100,0,0.0100,0.96192093,2.07610102
61000,0.00100,0.00010,100,100,0,0.0100,0.96180876,2.08082681
62000,0.00100,0.00010,100,100,0,0.0100,0.96164596,2.07874948
63000,0.00100,0.00010,100,100,0,0.0100,0.96278073,2.06278929
64000,0.00100,0.00010,100,100,0,0.0100,0.96240135,2.06900604
65000,0.00100,0.00010,100,100,0,0.0100,0.96315343,2.05738818
66000,0.00100,0.00010,100,100,0,0.0100,0.96272069,2.06630023
67000,0.00100,0.00010,100,100,0,0.0100,0.96199608,2.06089465
68000,0.00100,0.00010,100,100,0,0.0100,0.96031844,2.06226231
69000,0.00100,0.00010,100,100,0,0.0100,0.93637213,2.08031586
70000,0.00100,0.00010,100,100,0,0.0100,0.93439972,2.07887888
71000,0.00100,0.00010,100,100,0,0.0100,0.93430379,2.06850824
72000,0.00100,0.00010,100,100,0,0.0100,0.93329641,2.07488889
73000,0.00100,0.00010,100,100,0,0.0100,0.93605121,2.06521825
74000,0.00100,0.00010,100,100,0,0.0100,0.93414442,2.05959167
75000,0.00100,0.00010,100,100,0,0.0100,0.93357816,2.06181089
76000,0.00100,0.00010,100,100,0,0.0100,0.93280969,2.06554374
77000,0.00100,0.00010,100,100,0,0.0100,0.93560759,2.05386194
78000,0.00100,0.00010,100,100,0,0.0100,0.93462937,2.05060897
79000,0.00100,0.00010,100,100,0,0.0100,0.93659189,2.04148192
80000,0.00100,0.00010,100,100,0,0.0100,0.93661507,2.04098557
81000,0.00100,0.00010,100,100,0,0.0100,0.93709965,2.03405260
82000,0.00100,0.00010,100,100,0,0.0100,0.93620734,2.03525800
83000,0.00100,0.00010,100,100,0,0.0100,0.93798172,2.02982551
84000,0.00100,0.00010,100,100,0,0.0100,0.93758434,2.03736972
85000,0.00100,0.00010,100,100,0,0.0100,0.93594859,2.03119573
86000,0.00100,0.00010,100,100,0,0.0100,0.93144108,2.03125725
87000,0.00100,0.00010,100,100,0,0.0100,0.93709679,2.01720216
88000,0.00100,0.00010,100,100,0,0.0100,0.93610271,2.01568020
89000,0.00100,0.00010,100,100,0,0.0100,0.93513199,2.01683289
90000,0.00100,0.00010,100,100,0,0.0100,0.93480907,2.01082750
91000,0.00100,0.00010,100,100,0,0.0100,0.93836574,1.99731104
92000,0.00100,0.00010,100,100,0,0.0100,0.91390100,2.00077716
93000,0.00100,0.00010,100,100,0,0.0100,0.91089934,2.00877301
94000,0.00100,0.00010,100,100,0,0.0100,0.91224975,2.00279459
95000,0.00100,0.00010,100,100,0,0.0100,0.90936861,2.00660429
96000,0.00100,0.00010,100,100,0,0.0100,0.90748151,2.01418999
97000,0.00100,0.00010,100,100,0,0.0100,0.90890754,2.00575769
98000,0.00100,0.00010,100,100,0,0.0100,0.90437978,2.00880715
99000,0.00100,0.00010,100,100,0,0.0100,0.90348209,2.01375588
100000,0.00100,0.00010,100,100,0,0.0100,0.90493474,2.00777626
101000,0.00100,0.00010,100,100,0,0.0100,0.90619204,2.00278863
102000,0.00100,0.00010,100,100,0,0.0100,0.90591961,2.00597688
103000,0.00100,0.00010,100,100,0,0.0100,0.90706768,2.00771586
104000,0.00100,0.00010,100,100,0,0.0100,0.90787133,2.00535135
105000,0.00100,0.00010,100,100,0,0.0100,0.90880272,1.99044633
106000,0.00100,0.00010,100,100,0,0.0100,0.91305241,1.98608776
107000,0.00100,0.00010,100,100,0,0.0100,0.91391941,1.97996264
108000,0.00100,0.00010,100,100,0,0.0100,0.91183008,1.98095910
109000,0.00100,0.00010,100,100,0,0.0100,0.90815806,1.99379969
110000,0.00100,0.00010,100,100,0,0.0100,0.90564932,1.99577562
111000,0.00100,0.00010,100,100,0,0.0100,0.90304135,2.00725761
112000,0.00100,0.00010,100,100,0,0.0100,0.90491975,1.99338464
