time	epistasis_coef	sel_coef	mu_prob	Ne	L	k_start	mean_fitness
2000000	-1.0000000000	0.0100000000	0.1000000000	10	100	0	0.244827
2001000	-1.0000000000	0.0100000000	0.1000000000	10	100	0	0.510806
2002000	-1.0000000000	0.0100000000	0.1000000000	10	100	0	0.354784
2003000	-1.0000000000	0.0100000000	0.1000000000	10	100	0	0.462436
2004000	-1.0000000000	0.0100000000	0.1000000000	10	100	0	0.298197
2005000	-1.0000000000	0.0100000000	0.1000000000	10	100	0	0.338592
2006000	-1.0000000000	0.0100000000	0.1000000000	10	100	0	0.346975
2007000	-1.0000000000	0.0100000000	0.1000000000	10	100	0	0.561426
2008000	-1.0000000000	0.0100000000	0.1000000000	10	100	0	0.510806
2009000	-1.0000000000	0.0100000000	0.1000000000	10	100	0	0.494319
2010000	-1.0000000000	0.0100000000	0.1000000000	10	100	0	0.494864
2011000	-1.0000000000	0.0100000000	0.1000000000	10	100	0	0.392432
2012000	-1.0000000000	0.0100000000	0.1000000000	10	100	0	0.502562
2013000	-1.0000000000	0.0100000000	0.1000000000	10	100	0	0.406369
2014000	-1.0000000000	0.0100000000	0.1000000000	10	100	0	0.191510
2015000	-1.0000000000	0.0100000000	0.1000000000	10	100	0	0.399401
2016000	-1.0000000000	0.0100000000	0.1000000000	10	100	0	0.369339
2017000	-1.0000000000	0.0100000000	0.1000000000	10	100	0	0.445404
2018000	-1.0000000000	0.0100000000	0.1000000000	10	100	0	0.256195
2019000	-1.0000000000	0.0100000000	0.1000000000	10	100	0	0.421764
2020000	-1.0000000000	0.0100000000	0.1000000000	10	100	0	0.612626
2021000	-1.0000000000	0.0100000000	0.1000000000	10	100	0	0.578043
2022000	-1.0000000000	0.0100000000	0.1000000000	10	100	0	0.569959
2023000	-1.0000000000	0.0100000000	0.1000000000	10	100	0	0.440256
2024000	-1.0000000000	0.0100000000	0.1000000000	10	100	0	0.306007
2025000	-1.0000000000	0.0100000000	0.1000000000	10	100	0	0.261436
2026000	-1.0000000000	0.0100000000	0.1000000000	10	100	0	0.511385
2027000	-1.0000000000	0.0100000000	0.1000000000	10	100	0	0.728499
2028000	-1.0000000000	0.0100000000	0.1000000000	10	100	0	0.502562
2029000	-1.0000000000	0.0100000000	0.1000000000	10	100	0	0.527292
2030000	-1.0000000000	0.0100000000	0.1000000000	10	100	0	0.231687
2031000	-1.0000000000	0.0100000000	0.1000000000	10	100	0	0.414067
2032000	-1.0000000000	0.0100000000	0.1000000000	10	100	0	0.446679
2033000	-1.0000000000	0.0100000000	0.1000000000	10	100	0	0.663656
2034000	-1.0000000000	0.0100000000	0.1000000000	10	100	0	0.486075
2035000	-1.0000000000	0.0100000000	0.1000000000	10	100	0	0.495410
2036000	-1.0000000000	0.0100000000	0.1000000000	10	100	0	0.587316
2037000	-1.0000000000	0.0100000000	0.1000000000	10	100	0	0.333880
2038000	-1.0000000000	0.0100000000	0.1000000000	10	100	0	0.221205
2039000	-1.0000000000	0.0100000000	0.1000000000	10	100	0	0.346975
2040000	-1.0000000000	0.0100000000	0.1000000000	10	100	0	0.257967
2041000	-1.0000000000	0.0100000000	0.1000000000	10	100	0	0.286785
2042000	-1.0000000000	0.0100000000	0.1000000000	10	100	0	0.231687
2043000	-1.0000000000	0.0100000000	0.1000000000	10	100	0	0.231674
2044000	-1.0000000000	0.0100000000	0.1000000000	10	100	0	0.285943
2045000	-1.0000000000	0.0100000000	0.1000000000	10	100	0	0.333880
2046000	-1.0000000000	0.0100000000	0.1000000000	10	100	0	0.222091
2047000	-1.0000000000	0.0100000000	0.1000000000	10	100	0	0.340007
2048000	-1.0000000000	0.0100000000	0.1000000000	10	100	0	0.340848
