time	epistasis_coef	sel_coef	mu_prob	Ne	L	k_start	mean_fitness
1500000	0.2000000000	0.0001000000	0.0100000000	100	100	0	0.997789
1501000	0.2000000000	0.0001000000	0.0100000000	100	100	0	0.997829
1502000	0.2000000000	0.0001000000	0.0100000000	100	100	0	0.997825
1503000	0.2000000000	0.0001000000	0.0100000000	100	100	0	0.997734
1504000	0.2000000000	0.0001000000	0.0100000000	100	100	0	0.997757
1505000	0.2000000000	0.0001000000	0.0100000000	100	100	0	0.997625
1506000	0.2000000000	0.0001000000	0.0100000000	100	100	0	0.997438
1507000	0.2000000000	0.0001000000	0.0100000000	100	100	0	0.997587
1508000	0.2000000000	0.0001000000	0.0100000000	100	100	0	0.997538
1509000	0.2000000000	0.0001000000	0.0100000000	100	100	0	0.997699
1510000	0.2000000000	0.0001000000	0.0100000000	100	100	0	0.997717
1511000	0.2000000000	0.0001000000	0.0100000000	100	100	0	0.997744
1512000	0.2000000000	0.0001000000	0.0100000000	100	100	0	0.997657
1513000	0.2000000000	0.0001000000	0.0100000000	100	100	0	0.997685
1514000	0.2000000000	0.0001000000	0.0100000000	100	100	0	0.997726
1515000	0.2000000000	0.0001000000	0.0100000000	100	100	0	0.997831
1516000	0.2000000000	0.0001000000	0.0100000000	100	100	0	0.997820
1517000	0.2000000000	0.0001000000	0.0100000000	100	100	0	0.997914
1518000	0.2000000000	0.0001000000	0.0100000000	100	100	0	0.997824
1519000	0.2000000000	0.0001000000	0.0100000000	100	100	0	0.997956
1520000	0.2000000000	0.0001000000	0.0100000000	100	100	0	0.997921
1521000	0.2000000000	0.0001000000	0.0100000000	100	100	0	0.997911
1522000	0.2000000000	0.0001000000	0.0100000000	100	100	0	0.997827
1523000	0.2000000000	0.0001000000	0.0100000000	100	100	0	0.997821
1524000	0.2000000000	0.0001000000	0.0100000000	100	100	0	0.997962
1525000	0.2000000000	0.0001000000	0.0100000000	100	100	0	0.997874
1526000	0.2000000000	0.0001000000	0.0100000000	100	100	0	0.997865
1527000	0.2000000000	0.0001000000	0.0100000000	100	100	0	0.997833
1528000	0.2000000000	0.0001000000	0.0100000000	100	100	0	0.997704
1529000	0.2000000000	0.0001000000	0.0100000000	100	100	0	0.997867
1530000	0.2000000000	0.0001000000	0.0100000000	100	100	0	0.997851
1531000	0.2000000000	0.0001000000	0.0100000000	100	100	0	0.997855
1532000	0.2000000000	0.0001000000	0.0100000000	100	100	0	0.997746
1533000	0.2000000000	0.0001000000	0.0100000000	100	100	0	0.997659
1534000	0.2000000000	0.0001000000	0.0100000000	100	100	0	0.997582
1535000	0.2000000000	0.0001000000	0.0100000000	100	100	0	0.997527
1536000	0.2000000000	0.0001000000	0.0100000000	100	100	0	0.997598
1537000	0.2000000000	0.0001000000	0.0100000000	100	100	0	0.997668
1538000	0.2000000000	0.0001000000	0.0100000000	100	100	0	0.997759
1539000	0.2000000000	0.0001000000	0.0100000000	100	100	0	0.997904
1540000	0.2000000000	0.0001000000	0.0100000000	100	100	0	0.997883
1541000	0.2000000000	0.0001000000	0.0100000000	100	100	0	0.997958
1542000	0.2000000000	0.0001000000	0.0100000000	100	100	0	0.998185
1543000	0.2000000000	0.0001000000	0.0100000000	100	100	0	0.998055
1544000	0.2000000000	0.0001000000	0.0100000000	100	100	0	0.997982
1545000	0.2000000000	0.0001000000	0.0100000000	100	100	0	0.997946
1546000	0.2000000000	0.0001000000	0.0100000000	100	100	0	0.997978
1547000	0.2000000000	0.0001000000	0.0100000000	100	100	0	0.997887
