L	N	s	q	mu	r	rep	<mean>	max
10	100	1	0.5	1	0.01	0	0.743234	0.791703
10	100	1	0.5	1	0.01	1	0.744741	0.794449
10	100	1	0.5	1	0.01	2	0.741446	0.78963
10	100	1	0.5	1	0.01	3	0.742106	0.791093
10	100	1	0.5	1	0.01	4	0.738919	0.787135
10	100	1	0.5	0.33	0.01	0	0.781462	0.818771
10	100	1	0.5	0.33	0.01	1	0.784389	0.822373
10	100	1	0.5	0.33	0.01	2	0.780763	0.817948
10	100	1	0.5	0.33	0.01	3	0.785624	0.823462
10	100	1	0.5	0.33	0.01	4	0.779804	0.816794
10	100	1	0.5	0.1	0.01	0	0.818661	0.84609
10	100	1	0.5	0.1	0.01	1	0.818221	0.845429
10	100	1	0.5	0.1	0.01	2	0.81855	0.845844
10	100	1	0.5	0.1	0.01	3	0.810778	0.837013
10	100	1	0.5	0.1	0.01	4	0.822982	0.850452
10	100	1	0.5	0.033	0.01	0	0.847511	0.866837
10	100	1	0.5	0.033	0.01	1	0.843512	0.861228
10	100	1	0.5	0.033	0.01	2	0.845704	0.86394
10	100	1	0.5	0.033	0.01	3	0.848814	0.867887
10	100	1	0.5	0.033	0.01	4	0.847033	0.866044
10	100	1	0.5	0.01	0.01	0	0.861923	0.871994
10	100	1	0.5	0.01	0.01	1	0.869002	0.879175
10	100	1	0.5	0.01	0.01	2	0.879471	0.889233
10	100	1	0.5	0.01	0.01	3	0.875126	0.885224
10	100	1	0.5	0.01	0.01	4	0.869715	0.880199
10	100	1	0.5	0.0033	0.01	0	0.899267	0.903384
10	100	1	0.5	0.0033	0.01	1	0.86664	0.871189
10	100	1	0.5	0.0033	0.01	2	0.880555	0.885742
10	100	1	0.5	0.0033	0.01	3	0.883908	0.887969
10	100	1	0.5	0.0033	0.01	4	0.879478	0.884219
10	100	1	0.5	0.001	0.01	0	0.90692	0.908052
10	100	1	0.5	0.001	0.01	1	0.927522	0.928568
10	100	1	0.5	0.001	0.01	2	0.874961	0.876726
10	100	1	0.5	0.001	0.01	3	0.929496	0.930673
10	100	1	0.5	0.001	0.01	4	0.883945	0.885334
