L	N	s	q	mu	r	rep	<mean>	max
10	100	1	1	1	0.01	0	0.892012	0.92687
10	100	1	1	1	0.01	1	0.892829	0.927916
10	100	1	1	1	0.01	2	0.892467	0.927399
10	100	1	1	1	0.01	3	0.890803	0.926213
10	100	1	1	1	0.01	4	0.885154	0.920149
10	100	1	1	0.33	0.01	0	0.913865	0.936795
10	100	1	1	0.33	0.01	1	0.915853	0.938402
10	100	1	1	0.33	0.01	2	0.912513	0.934837
10	100	1	1	0.33	0.01	3	0.916559	0.938772
10	100	1	1	0.33	0.01	4	0.914396	0.937156
10	100	1	1	0.1	0.01	0	0.927264	0.941325
10	100	1	1	0.1	0.01	1	0.929889	0.943862
10	100	1	1	0.1	0.01	2	0.931732	0.945808
10	100	1	1	0.1	0.01	3	0.927135	0.940958
10	100	1	1	0.1	0.01	4	0.938498	0.952082
10	100	1	1	0.033	0.01	0	0.940071	0.948656
10	100	1	1	0.033	0.01	1	0.941384	0.949484
10	100	1	1	0.033	0.01	2	0.945627	0.954025
10	100	1	1	0.033	0.01	3	0.939356	0.947436
10	100	1	1	0.033	0.01	4	0.935536	0.943907
10	100	1	1	0.01	0.01	0	0.934315	0.938775
10	100	1	1	0.01	0.01	1	0.959371	0.96405
10	100	1	1	0.01	0.01	2	0.965201	0.969353
10	100	1	1	0.01	0.01	3	0.952501	0.957245
10	100	1	1	0.01	0.01	4	0.92491	0.92945
10	100	1	1	0.0033	0.01	0	0.96723	0.9693
10	100	1	1	0.0033	0.01	1	0.928245	0.930437
10	100	1	1	0.0033	0.01	2	0.949008	0.951583
10	100	1	1	0.0033	0.01	3	0.942772	0.945051
10	100	1	1	0.0033	0.01	4	0.964187	0.966289
10	100	1	1	0.001	0.01	0	0.968869	0.969567
10	100	1	1	0.001	0.01	1	0.946325	0.947091
10	100	1	1	0.001	0.01	2	0.954833	0.955667
10	100	1	1	0.001	0.01	3	0.953333	0.954213
10	100	1	1	0.001	0.01	4	0.951556	0.952356
