L	N	s	q	mu	r	rep	mean	max
10	1000	1	2	1	0.01	0	0.975856	0.994037
10	1000	1	2	1	0.01	1	0.976389	0.99452
10	1000	1	2	1	0.01	2	0.975839	0.993996
10	1000	1	2	1	0.01	3	0.976062	0.994282
10	1000	1	2	1	0.01	4	0.97532	0.993901
10	1000	1	2	0.33	0.01	0	0.986277	0.996242
10	1000	1	2	0.33	0.01	1	0.985825	0.996086
10	1000	1	2	0.33	0.01	2	0.985722	0.995874
10	1000	1	2	0.33	0.01	3	0.985539	0.995912
10	1000	1	2	0.33	0.01	4	0.986037	0.996162
10	1000	1	2	0.1	0.01	0	0.991955	0.997329
10	1000	1	2	0.1	0.01	1	0.992089	0.997217
10	1000	1	2	0.1	0.01	2	0.990725	0.996595
10	1000	1	2	0.1	0.01	3	0.991852	0.997064
10	1000	1	2	0.1	0.01	4	0.991365	0.997006
10	1000	1	2	0.033	0.01	0	0.994341	0.9974
10	1000	1	2	0.033	0.01	1	0.994675	0.997666
10	1000	1	2	0.033	0.01	2	0.994713	0.997665
10	1000	1	2	0.033	0.01	3	0.994337	0.997537
10	1000	1	2	0.033	0.01	4	0.994689	0.997683
10	1000	1	2	0.01	0.01	0	0.996711	0.998454
10	1000	1	2	0.01	0.01	1	0.996641	0.998307
10	1000	1	2	0.01	0.01	2	0.997249	0.998703
10	1000	1	2	0.01	0.01	3	0.995961	0.99771
10	1000	1	2	0.01	0.01	4	0.994076	0.996322
10	1000	1	2	0.0033	0.01	0	0.997663	0.998438
10	1000	1	2	0.0033	0.01	1	0.996123	0.997184
10	1000	1	2	0.0033	0.01	2	0.996667	0.997716
10	1000	1	2	0.0033	0.01	3	0.996408	0.997462
10	1000	1	2	0.0033	0.01	4	0.998152	0.998995
10	1000	1	2	0.001	0.01	0	0.998595	0.998945
10	1000	1	2	0.001	0.01	1	0.997941	0.998407
10	1000	1	2	0.001	0.01	2	0.998758	0.99907
10	1000	1	2	0.001	0.01	3	0.996472	0.997042
10	1000	1	2	0.001	0.01	4	0.997465	0.998089
