L	N	s	q	mu	r	rep	<mean>	max
10	100	1	2	1	0.01	0	0.962665	0.977981
10	100	1	2	1	0.01	1	0.964648	0.979725
10	100	1	2	1	0.01	2	0.962512	0.977899
10	100	1	2	1	0.01	3	0.961115	0.977173
10	100	1	2	1	0.01	4	0.956897	0.973391
10	100	1	2	0.33	0.01	0	0.96627	0.975777
10	100	1	2	0.33	0.01	1	0.973745	0.982204
10	100	1	2	0.33	0.01	2	0.968427	0.977443
10	100	1	2	0.33	0.01	3	0.972395	0.980952
10	100	1	2	0.33	0.01	4	0.968184	0.977181
10	100	1	2	0.1	0.01	0	0.957873	0.964232
10	100	1	2	0.1	0.01	1	0.964442	0.970203
10	100	1	2	0.1	0.01	2	0.97283	0.978248
10	100	1	2	0.1	0.01	3	0.968005	0.973443
10	100	1	2	0.1	0.01	4	0.978927	0.98336
10	100	1	2	0.033	0.01	0	0.972783	0.975934
10	100	1	2	0.033	0.01	1	0.984032	0.986354
10	100	1	2	0.033	0.01	2	0.9748	0.977823
10	100	1	2	0.033	0.01	3	0.978775	0.981386
10	100	1	2	0.033	0.01	4	0.967157	0.970575
10	100	1	2	0.01	0.01	0	0.962415	0.964314
10	100	1	2	0.01	0.01	1	0.985671	0.986899
10	100	1	2	0.01	0.01	2	0.986951	0.988103
10	100	1	2	0.01	0.01	3	0.979123	0.980644
10	100	1	2	0.01	0.01	4	0.959607	0.961687
10	100	1	2	0.0033	0.01	0	0.985284	0.985957
10	100	1	2	0.0033	0.01	1	0.963581	0.964579
10	100	1	2	0.0033	0.01	2	0.960443	0.961579
10	100	1	2	0.0033	0.01	3	0.951123	0.952342
10	100	1	2	0.0033	0.01	4	0.973197	0.974029
10	100	1	2	0.001	0.01	0	0.979334	0.979599
10	100	1	2	0.001	0.01	1	0.975938	0.976244
10	100	1	2	0.001	0.01	2	0.975335	0.975699
10	100	1	2	0.001	0.01	3	0.967525	0.967948
10	100	1	2	0.001	0.01	4	0.978577	0.978878
